constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Constrained,santsrid,NW20DB1002,PDX067ROMP01,PDX,PDX2,PDX067,PDX002,PDX2,05/10/20,07/18/20,10/12/20,10/01/20,09/14/20,08/17/20,09/07/20,08/03/20,06/01/20,07/20/20,06/01/20,05/18/20,04/27/20,04/13/20,03/20/20,07/18/20
Constrained,santsrid,NW20DB1002,PDX067ROMP01,PDX,PDX2,PDX067,PDX057,PDX57,05/10/20,07/18/20,10/12/20,10/01/20,09/14/20,08/17/20,09/07/20,08/03/20,06/01/20,07/20/20,06/01/20,05/18/20,04/27/20,04/13/20,03/20/20,07/18/20
Constrained,stkeck,NW19DB1001,LHR064COLP01,LHR,LHR54,LHR064,LHR054,LHR54,07/11/21,07/27/20,10/21/20,10/10/20,10/07/20,08/26/20,09/16/20,08/12/20,06/17/20,07/29/20,06/10/20,05/27/20,05/06/20,04/22/20,03/29/20,07/18/20
Constrained,stkeck,NW19DB4004,FRA082COLP01,FRA,FRA52,FRA082,FRA056,FRA56,02/13/22,07/29/20,10/09/20,10/12/20,09/25/20,08/28/20,09/18/20,08/14/20,06/05/20,07/31/20,06/12/20,05/29/20,05/08/20,04/24/20,03/31/20,07/18/20
Constrained,tmocook,NW19DB4012,IAD100ROMP01,IAD,IAD7,IAD100,IAD130,IAD130,07/11/21,08/22/20,11/16/20,11/05/20,10/19/20,09/21/20,10/12/20,09/07/20,07/06/20,08/24/20,07/06/20,06/22/20,06/01/20,05/18/20,04/24/20,07/18/20
Constrained,tmocook,NW19DB4012,IAD100ROMP01,IAD,IAD7,IAD100,IAD132,IAD132,01/03/21,08/22/20,11/16/20,11/05/20,10/19/20,09/21/20,10/12/20,09/07/20,07/06/20,08/24/20,07/06/20,06/22/20,06/01/20,05/18/20,04/24/20,07/18/20
Not Constrained,tmocook,NW19DB4012,IAD100ROMP01,IAD,IAD7,IAD100,IAD085,IAD85,10/31/21,08/22/20,11/16/20,11/05/20,10/19/20,09/21/20,10/12/20,09/07/20,07/06/20,08/24/20,07/06/20,06/22/20,06/01/20,05/18/20,04/24/20,07/18/20
Constrained,sannair,NW19DB1008,NRT069COLP01,NRT,NRT55,NRT069,NRT055,NRT55,05/10/20,09/01/20,11/13/20,11/15/20,11/01/20,10/01/20,10/22/20,09/17/20,08/09/20,09/03/20,07/16/20,07/02/20,06/11/20,05/28/20,05/04/20,07/18/20
Constrained,sannair,NW19DB1003,BOM061COLP01,BOM,BOM54,BOM061,BOM054,BOM54,07/04/21,09/02/20,11/27/20,11/16/20,10/30/20,10/02/20,10/23/20,09/18/20,07/10/20,09/04/20,07/17/20,07/03/20,06/12/20,05/29/20,05/05/20,07/18/20
Not Constrained,sannair,NW18DB4055,ICN063COLP01,ICN,ICN52,ICN063,ICN052,ICN52,11/21/21,10/14/20,01/08/21,12/28/20,12/11/20,11/13/20,12/04/20,10/30/20,08/21/20,10/16/20,08/28/20,08/14/20,07/24/20,07/10/20,06/16/20,07/18/20
